database,operation,metric,value,worker_count,query_id
weaviate,quality,NDCG@5,1.0,1,
weaviate,quality,recall@10,1.0,1,
weaviate,quality,precision@10,1.0,1,
weaviate,quality,mAP@10,1.0,1,
weaviate,quality,NDCG@10,1.0,1,
qdrant,quality,recall@1,1.0,1,
qdrant,quality,precision@1,0.09999999999999998,1,
qdrant,quality,mAP@1,1.0,1,
qdrant,quality,NDCG@1,1.0,1,
qdrant,quality,recall@5,1.0,1,
qdrant,quality,precision@5,0.5,1,
qdrant,quality,mAP@5,1.0,1,
qdrant,quality,NDCG@5,1.0,1,
qdrant,quality,recall@10,1.0,1,
qdrant,quality,precision@10,1.0,1,
qdrant,quality,mAP@10,1.0,1,
qdrant,quality,NDCG@10,1.0,1,
